Inicio...
Resolving a Control stream...

Corrida N#:  0
[0, 0, 1, 1]
ts:  1969-12-31 22:16:47.844015 - 1969-12-31 22:16:47.861983
ts:  1969-12-31 22:16:47.848015 - 1969-12-31 22:16:47.862282
ts:  1969-12-31 22:16:47.852015 - 1969-12-31 22:16:47.862591
ts:  1969-12-31 22:16:47.856015 - 1969-12-31 22:16:47.863049
ts:  1969-12-31 22:16:47.860015 - 1969-12-31 22:16:47.863353
ts:  1969-12-31 22:16:47.851340 - 1969-12-31 22:16:47.887768
ts:  1969-12-31 22:16:47.855340 - 1969-12-31 22:16:47.888028
ts:  1969-12-31 22:16:47.859340 - 1969-12-31 22:16:47.888166
ts:  1969-12-31 22:16:47.863340 - 1969-12-31 22:16:47.888291
ts:  1969-12-31 22:16:47.867340 - 1969-12-31 22:16:47.888617
ts:  1969-12-31 22:16:47.871340 - 1969-12-31 22:16:47.888772
ts:  1969-12-31 22:16:47.875340 - 1969-12-31 22:16:47.888899
ts:  1969-12-31 22:16:47.879340 - 1969-12-31 22:16:47.889016
ts:  1969-12-31 22:16:47.883340 - 1969-12-31 22:16:47.889113
ts:  1969-12-31 22:16:47.887340 - 1969-12-31 22:16:47.889293
ts:  1969-12-31 22:16:47.879455 - 1969-12-31 22:16:47.916606
ts:  1969-12-31 22:16:47.883455 - 1969-12-31 22:16:47.917034
ts:  1969-12-31 22:16:47.887455 - 1969-12-31 22:16:47.917300
ts:  1969-12-31 22:16:47.891455 - 1969-12-31 22:16:47.917464
ts:  1969-12-31 22:16:47.895455 - 1969-12-31 22:16:47.917645
ts:  1969-12-31 22:16:47.899455 - 1969-12-31 22:16:47.917827
ts:  1969-12-31 22:16:47.903455 - 1969-12-31 22:16:47.917989
ts:  1969-12-31 22:16:47.907455 - 1969-12-31 22:16:47.918209
ts:  1969-12-31 22:16:47.911455 - 1969-12-31 22:16:47.918505
ts:  1969-12-31 22:16:47.915455 - 1969-12-31 22:16:47.918690
ts:  1969-12-31 22:16:47.905930 - 1969-12-31 22:16:47.942193
ts:  1969-12-31 22:16:47.909930 - 1969-12-31 22:16:47.942316
ts:  1969-12-31 22:16:47.913930 - 1969-12-31 22:16:47.942363
